,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
441,CHEMBL2207042,CCO[C@@H]([C@H]1C[C@@H](C)[C@H]2[C@H](O1)[C@H](O)[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O[C@H]5CN(C)CCO5)CC[C@@]45C[C@@]35CC[C@]21C)C(C)(C)O,inactive,617.9120000000003,5.649100000000006,2.0,7.0,6.6020599913279625
442,CHEMBL2207069,CCO[C@@H]([C@H]1C[C@@H](C)[C@H]2[C@H](O1)[C@H](O)[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O[C@H]5CNCCO5)CC[C@@]45C[C@@]35CC[C@]21C)C(C)(C)O,inactive,603.8850000000003,5.306900000000006,3.0,7.0,7.040958607678906
443,CHEMBL2206994,CCO[C@@H]([C@H]1C[C@@H](C)[C@H]2[C@H](O1)[C@H](O)[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O[C@H]5CN(C6CN(C)C6)CCO5)CC[C@@]45C[C@@]35CC[C@]21C)C(C)(C)O,inactive,672.992,5.333300000000007,2.0,8.0,7.0
444,CHEMBL2207044,CCO[C@@H]([C@H]1C[C@@H](C)[C@H]2[C@H](O1)[C@H](O)[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O[C@H]5CN(CCOC)CCO5)CC[C@@]45C[C@@]35CC[C@]21C)C(C)(C)O,inactive,661.9650000000001,5.665700000000006,2.0,8.0,6.568636235841013
445,CHEMBL2207050,CCO[C@@H]([C@H]1C[C@@H](C)[C@H]2[C@H](O1)[C@H](O)[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O[C@H]5CN(CCN6CCC6)CCO5)CC[C@@]45C[C@@]35CC[C@]21C)C(C)(C)O,inactive,687.019,5.725000000000007,2.0,8.0,6.958607314841775
446,CHEMBL2206992,CCO[C@@H]([C@H]1C[C@@H](C)[C@H]2[C@H](O1)[C@H](O)[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O[C@H]5CN(C6(C)COC6)CCO5)CC[C@@]45C[C@@]35CC[C@]21C)C(C)(C)O,inactive,673.976,5.8082000000000065,2.0,8.0,6.3979400086720375
447,CHEMBL2206993,CCO[C@@H]([C@H]1C[C@@H](C)[C@H]2[C@H](O1)[C@H](O)[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O[C@H]5CN(C6CNC6)CCO5)CC[C@@]45C[C@@]35CC[C@]21C)C(C)(C)O,inactive,658.965,4.991100000000006,3.0,8.0,7.0
448,CHEMBL3403815,CCO[C@@H]([C@H]1C[C@@H](C)[C@H]2[C@H](O1)[C@H](O)[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O[C@H]5CN(CC6CN(C)C6)CCO5)CC[C@@]45C[C@@]35CC[C@]21C)C(C)(C)O,inactive,687.0189999999999,5.580900000000007,2.0,8.0,6.853871964321762
449,CHEMBL3403817,CCO[C@@H]([C@H]1C[C@@H](C)[C@H]2[C@H](O1)[C@H](O)[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O[C@H]5CN(C6CN(C7CCC7)C6)CCO5)CC[C@@]45C[C@@]35CC[C@]21C)C(C)(C)O,inactive,713.0569999999999,6.256000000000007,2.0,8.0,6.920818753952375
450,CHEMBL3403818,CCO[C@@H]([C@H]1C[C@@H](C)[C@H]2[C@H](O1)[C@H](O)[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O[C@H]5CN(C6CN(C7COC7)C6)CCO5)CC[C@@]45C[C@@]35CC[C@]21C)C(C)(C)O,inactive,715.0289999999999,5.102300000000006,2.0,9.0,6.886056647693163
